Year, Month, Day, Time, Duration, Start (seconds since epoch), End (seconds since epoch)
2013, 9, 2, 14:57:11, 17:24, 1378126631, 1378127675
2013, 9, 18, 11:01:01, 25:00, 1379494861, 1379496361
2013, 9, 18, 11:31:01, 25:00, 1379496661, 1379498161
2013, 9, 18, 12:01:00, 25:01, 1379498460, 1379499961
2013, 9, 18, 12:31:00, 25:00, 1379500260, 1379501760
2013, 9, 18, 13:11:00, 25:00, 1379502660, 1379504160
2013, 9, 18, 13:41:00, 25:00, 1379504460, 1379505960
2013, 9, 18, 14:11:00, 25:00, 1379506260, 1379507760
2013, 9, 18, 17:14:57, 25:03, 1379517297, 1379518800
2013, 9, 18, 17:45:00, 25:00, 1379519100, 1379520600
2013, 9, 18, 18:15:01, 24:59, 1379520901, 1379522400
2013, 9, 19, 09:39:22, 24:38, 1379576362, 1379577840
2013, 9, 19, 10:09:01, 24:59, 1379578141, 1379579640
2013, 9, 19, 10:42:19, 24:41, 1379580139, 1379581620
2013, 9, 19, 11:12:00, 25:00, 1379581920, 1379583420
2013, 9, 19, 11:54:54, 25:06, 1379584494, 1379586000
2013, 9, 19, 12:25:01, 24:59, 1379586301, 1379587800
2013, 9, 19, 12:55:00, 25:00, 1379588100, 1379589600
2013, 9, 19, 13:25:00, 25:00, 1379589900, 1379591400
2013, 9, 19, 14:05:00, 25:00, 1379592300, 1379593800
2013, 9, 19, 14:35:00, 25:00, 1379594100, 1379595600
2013, 9, 18, 14:11:00, 25:00, 1379506260, 1379507760
2013, 9, 18, 17:14:57, 25:03, 1379517297, 1379518800
2013, 9, 18, 17:45:00, 25:00, 1379519100, 1379520600
2013, 9, 18, 18:15:01, 24:59, 1379520901, 1379522400
2013, 9, 19, 09:39:22, 24:38, 1379576362, 1379577840
2013, 9, 19, 10:09:01, 24:59, 1379578141, 1379579640
2013, 9, 19, 10:42:19, 24:41, 1379580139, 1379581620
2013, 9, 19, 11:12:00, 25:00, 1379581920, 1379583420
2013, 9, 19, 11:54:54, 25:06, 1379584494, 1379586000
2013, 9, 19, 12:25:01, 24:59, 1379586301, 1379587800
2013, 9, 19, 12:55:00, 25:00, 1379588100, 1379589600
2013, 9, 19, 13:25:00, 25:00, 1379589900, 1379591400
2013, 9, 19, 14:05:00, 25:00, 1379592300, 1379593800
2013, 9, 19, 14:35:00, 25:00, 1379594100, 1379595600
2013, 9, 18, 14:11:00, 25:00, 1379506260, 1379507760
2013, 9, 18, 17:14:57, 25:03, 1379517297, 1379518800
2013, 9, 18, 17:45:00, 25:00, 1379519100, 1379520600
2013, 9, 18, 18:15:01, 24:59, 1379520901, 1379522400
2013, 9, 19, 09:39:22, 24:38, 1379576362, 1379577840
2013, 9, 19, 10:09:01, 24:59, 1379578141, 1379579640
2013, 9, 19, 10:42:19, 24:41, 1379580139, 1379581620
2013, 9, 19, 11:12:00, 25:00, 1379581920, 1379583420
2013, 9, 19, 11:54:54, 25:06, 1379584494, 1379586000
2013, 9, 19, 12:25:01, 24:59, 1379586301, 1379587800
2013, 9, 19, 12:55:00, 25:00, 1379588100, 1379589600
2013, 9, 19, 13:25:00, 25:00, 1379589900, 1379591400
2013, 9, 19, 14:05:00, 25:00, 1379592300, 1379593800
2013, 9, 19, 14:35:00, 25:00, 1379594100, 1379595600
2013, 9, 18, 14:11:00, 25:00, 1379506260, 1379507760
2013, 9, 18, 17:14:57, 25:03, 1379517297, 1379518800
2013, 9, 18, 17:45:00, 25:00, 1379519100, 1379520600
2013, 9, 18, 18:15:01, 24:59, 1379520901, 1379522400
2013, 9, 19, 09:39:22, 24:38, 1379576362, 1379577840
2013, 9, 19, 10:09:01, 24:59, 1379578141, 1379579640
2013, 9, 19, 10:42:19, 24:41, 1379580139, 1379581620
